,日期,時間,outlier
667,2019/6/25,12:00:00,False
668,2019/6/25,12:15:00,False
669,2019/6/25,12:30:00,False
670,2019/6/25,12:45:00,False
671,2019/6/25,13:00:00,False
672,2019/6/26,09:15:00,False
673,2019/6/26,09:30:00,False
674,2019/6/26,09:45:00,False
675,2019/6/26,10:00:00,False
676,2019/6/26,10:15:00,False
677,2019/6/26,10:30:00,False
678,2019/6/26,10:45:00,False
679,2019/6/26,11:00:00,False
680,2019/6/26,11:15:00,False
681,2019/6/26,11:30:00,False
682,2019/6/26,11:45:00,False
683,2019/6/26,12:00:00,False
684,2019/6/26,12:15:00,False
685,2019/6/26,12:30:00,False
686,2019/6/26,12:45:00,False
687,2019/6/26,13:00:00,False
688,2019/6/27,09:15:00,False
689,2019/6/27,09:30:00,True
690,2019/6/27,09:45:00,False
691,2019/6/27,10:00:00,False
692,2019/6/27,10:15:00,False
693,2019/6/27,10:30:00,True
694,2019/6/27,10:45:00,True
695,2019/6/27,11:00:00,False
696,2019/6/27,11:15:00,False
697,2019/6/27,11:30:00,False
698,2019/6/27,11:45:00,False
699,2019/6/27,12:00:00,False
700,2019/6/27,12:15:00,False
701,2019/6/27,12:30:00,False
702,2019/6/27,12:45:00,False
703,2019/6/27,13:00:00,False
704,2019/6/28,09:15:00,False
705,2019/6/28,09:30:00,False
706,2019/6/28,09:45:00,False
707,2019/6/28,10:00:00,False
708,2019/6/28,10:15:00,False
709,2019/6/28,10:30:00,False
710,2019/6/28,10:45:00,False
711,2019/6/28,11:00:00,False
712,2019/6/28,11:15:00,False
713,2019/6/28,11:30:00,False
714,2019/6/28,11:45:00,False
715,2019/6/28,12:00:00,False
716,2019/6/28,12:15:00,False
717,2019/6/28,12:30:00,False
718,2019/6/28,12:45:00,False
719,2019/6/28,13:00:00,False
720,2019/7/1,09:15:00,False
721,2019/7/1,09:30:00,False
722,2019/7/1,09:45:00,False
723,2019/7/1,10:00:00,False
724,2019/7/1,10:15:00,False
725,2019/7/1,10:30:00,False
726,2019/7/1,10:45:00,False
727,2019/7/1,11:00:00,False
728,2019/7/1,11:15:00,False
729,2019/7/1,11:30:00,False
730,2019/7/1,11:45:00,False
731,2019/7/1,12:00:00,False
732,2019/7/1,12:15:00,False
733,2019/7/1,12:30:00,False
734,2019/7/1,12:45:00,False
735,2019/7/1,13:00:00,False
736,2019/7/2,09:15:00,True
737,2019/7/2,09:30:00,False
738,2019/7/2,09:45:00,False
739,2019/7/2,10:00:00,False
740,2019/7/2,10:15:00,False
741,2019/7/2,10:30:00,False
742,2019/7/2,10:45:00,False
743,2019/7/2,11:00:00,False
744,2019/7/2,11:15:00,True
745,2019/7/2,11:30:00,False
746,2019/7/2,11:45:00,False
747,2019/7/2,12:00:00,False
748,2019/7/2,12:15:00,False
749,2019/7/2,12:30:00,False
750,2019/7/2,12:45:00,False
751,2019/7/2,13:00:00,False
752,2019/7/3,09:15:00,False
753,2019/7/3,09:30:00,False
754,2019/7/3,09:45:00,False
755,2019/7/3,10:00:00,False
756,2019/7/3,10:15:00,False
757,2019/7/3,10:30:00,False
758,2019/7/3,10:45:00,False
759,2019/7/3,11:00:00,False
760,2019/7/3,11:15:00,False
761,2019/7/3,11:30:00,False
762,2019/7/3,11:45:00,False
763,2019/7/3,12:00:00,False
764,2019/7/3,12:15:00,False
765,2019/7/3,12:30:00,False
766,2019/7/3,12:45:00,False
767,2019/7/3,13:00:00,False
768,2019/7/4,09:15:00,False
769,2019/7/4,09:30:00,False
770,2019/7/4,09:45:00,False
771,2019/7/4,10:00:00,True
772,2019/7/4,10:15:00,False
773,2019/7/4,10:30:00,False
774,2019/7/4,10:45:00,False
775,2019/7/4,11:00:00,False
776,2019/7/4,11:15:00,False
777,2019/7/4,11:30:00,False
778,2019/7/4,11:45:00,False
779,2019/7/4,12:00:00,False
780,2019/7/4,12:15:00,False
781,2019/7/4,12:30:00,False
782,2019/7/4,12:45:00,False
783,2019/7/4,13:00:00,False
784,2019/7/5,09:15:00,False
785,2019/7/5,09:30:00,False
786,2019/7/5,09:45:00,False
787,2019/7/5,10:00:00,False
788,2019/7/5,10:15:00,False
789,2019/7/5,10:30:00,False
790,2019/7/5,10:45:00,False
791,2019/7/5,11:00:00,False
792,2019/7/5,11:15:00,False
793,2019/7/5,11:30:00,False
794,2019/7/5,11:45:00,False
795,2019/7/5,12:00:00,False
796,2019/7/5,12:15:00,False
797,2019/7/5,12:30:00,False
798,2019/7/5,12:45:00,False
